Rank,Class,NSmells,LOC,Methods,Selected
80,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java,156,420,24,
81,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLServerDictionary.java,156,428,19,
82,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java,155,233,5,
83,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryKey.java,155,433,12,
84,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,155,737,127,
85,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,154,622,59,
86,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,154,933,86,
87,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java,153,412,14,
88,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java,151,382,64,
89,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java,149,353,18,
90,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java,146,473,19,
91,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAPersistenceUtil.java,143,289,6,
92,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/InverseManager.java,141,379,11,
93,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/RedefinitionHelper.java,138,220,9,
94,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,138,380,16,
95,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachManager.java,137,335,20,
96,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingResultList.java,137,443,91,
97,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory.java,137,652,10,
98,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStoreQuery.java,136,266,20,
99,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,136,414,26,
100,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java,136,428,36,
101,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedSQLStoreQuery.java,132,267,21,
